,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
6586,INST NAZARENO MODELIA,1,1,BOGOTÁ,0.0,3.7,4.0,0.65,0.9,4.8,12.9,45.25,0.95,0.9,0.65,271.0
6587,INST NTRA SRA DEL CARMEN,1,1,VALLE,0.0,2.4615384615384617,3.8205128205128207,0.6410256410256411,0.7692307692307693,6.6923076923076925,13.461538461538462,28.974358974358974,0.9743589743589743,0.8205128205128205,0.8205128205128205,255.56410256410257
6588,INST NUESTRA SEÑORA DE LA ASUNCION,1,1,VALLE,0.11764705882352941,2.0,3.4705882352941178,0.7058823529411765,0.8823529411764706,6.088235294117647,9.970588235294118,37.94117647058823,1.0,0.7352941176470589,0.8823529411764706,327.0882352941176
6589,INST NUEVA AMERICA DE SUBA,1,1,BOGOTÁ,0.0,2.966666666666667,3.933333333333333,0.6666666666666666,0.6666666666666666,5.0,12.0,44.0,1.0,0.9666666666666667,0.7333333333333333,297.3666666666667
6590,INST NUEVA COLOMBIA,1,1,BOGOTÁ,0.0,2.5,4.0,0.16666666666666666,0.5,0.5,9.5,30.0,1.0,0.6666666666666666,0.5,219.83333333333334
6591,INST ORESTES SINDICI,1,1,BOGOTÁ,0.0,2.2857142857142856,3.2857142857142856,0.5714285714285714,0.8214285714285714,4.607142857142857,11.357142857142858,34.82142857142857,0.9642857142857143,0.7857142857142857,0.8214285714285714,265.10714285714283
6592,INST PARRA PARIS,1,1,ANTIOQUIA,0.0,4.75,3.6666666666666665,1.0,1.0,2.75,13.5,51.666666666666664,1.0,0.8333333333333334,0.8333333333333334,296.1666666666667
6593,INST PEDAG ADONAY,1,1,VALLE,0.14285714285714285,1.9285714285714286,3.2857142857142856,0.5714285714285714,0.7142857142857143,5.357142857142857,8.142857142857142,24.285714285714285,0.7857142857142857,0.2857142857142857,0.8571428571428571,232.71428571428572
6594,INST PEDAG ARTURO RAMIREZ MONTUFAR,1,1,BOGOTÁ,0.03333333333333333,3.2,3.4,0.9,0.9666666666666667,4.6,11.0,80.83333333333333,1.0,0.9,0.9666666666666667,335.0
6595,INST PEDAG CARLOS RAMIREZ PARIS,1,1,NORTE SANTANDER,0.0,2.736842105263158,3.9473684210526314,0.8421052631578947,0.7894736842105263,5.368421052631579,13.736842105263158,25.0,0.9473684210526315,0.8421052631578947,0.8421052631578947,260.3157894736842
6596,INST PEDAG CLARET,1,1,ANTIOQUIA,0.0,3.0,2.875,0.625,0.6875,4.5,13.6875,33.75,1.0,0.9375,0.75,257.9375
6597,INST PEDAG COLOMBIA,1,1,NORTE SANTANDER,0.0,1.7428571428571429,3.9714285714285715,0.2571428571428571,0.2857142857142857,5.828571428571428,8.228571428571428,16.857142857142858,0.5714285714285714,0.5142857142857142,0.45714285714285713,213.14285714285714
6598,INST PEDAG HARVARD,1,1,RISARALDA,0.0,2.5384615384615383,3.3076923076923075,0.8461538461538461,0.6923076923076923,3.4615384615384617,11.76923076923077,21.923076923076923,0.9230769230769231,0.6153846153846154,0.7692307692307693,229.84615384615384
6599,INST PEDAG LA REAL SOCIEDAD,1,1,BOGOTÁ,0.0,2.1,3.7,0.6,0.65,6.9,13.2,38.0,0.9,0.9,0.75,252.4
6600,INST PEDAG NACIONAL,1,1,BOGOTÁ,0.0,3.3333333333333335,3.375,0.90625,0.9270833333333334,5.8125,12.40625,60.104166666666664,1.0,0.96875,0.8854166666666666,303.3333333333333
