,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,Educacion_padres,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
654,COL COOPERATIVO DE SOPO,1,1,CUNDINAMARCA,0.0,3.0476190476190474,3.9523809523809526,85.71428571428571,6.0,11.142857142857142,67.14285714285714,80.95238095238095,76.19047619047619,42.857142857142854,272.5238095238095
655,COL COOPERATIVO OBRERO DEL VALLE,1,1,VALLE,0.0,2.0,5.0,0.0,0.0,3.0,10.0,100.0,0.0,100.0,226.0
656,COL COOPERATIVO PEREIRA,1,1,RISARALDA,0.0,3.6,3.4,95.55555555555556,3.8666666666666667,12.733333333333333,39.55555555555556,100.0,91.11111111111111,20.0,283.93333333333334
657,COL COOPTEBOY,1,1,BOYACA,0.0,3.0,3.3157894736842106,89.47368421052632,4.578947368421052,10.263157894736842,38.94736842105263,100.0,68.42105263157895,31.57894736842105,264.0
658,COL CORAZONISTA,1,1,ANTIOQUIA,0.0,4.109243697478991,3.369747899159664,98.31932773109243,5.495798319327731,12.378151260504202,50.96638655462185,98.31932773109243,94.11764705882352,12.605042016806722,342.3697478991597
659,COL CREADORES DEL FUTURO,1,1,ANTIOQUIA,0.0,1.8888888888888888,3.7777777777777777,30.555555555555557,4.5,9.416666666666666,26.38888888888889,72.22222222222221,55.55555555555556,63.888888888888886,213.36111111111111
660,COL CRISTIANO AMIGOS DE JESUCRISTO,1,1,NORTE SANTANDER,0.0,3.0,4.5,87.5,3.75,12.75,41.875,100.0,62.5,37.5,248.125
661,COL CRISTIANO AMOR Y PAZ,1,1,VALLE,0.0,2.230769230769231,3.769230769230769,84.61538461538461,4.384615384615385,11.538461538461538,24.23076923076923,100.0,84.61538461538461,0.0,270.0
662,COL CRISTIANO EL LIBERTADOR,1,1,CUNDINAMARCA,0.0,2.0,3.3333333333333335,50.0,4.0,10.0,26.666666666666668,83.33333333333334,66.66666666666666,50.0,243.5
663,COL CRISTIANO GRACIA Y AMOR,1,1,BOGOTÁ,0.0,3.772727272727273,3.6363636363636362,100.0,4.7727272727272725,11.454545454545455,53.86363636363637,95.45454545454545,95.45454545454545,18.181818181818183,300.04545454545456
