,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
9098,INSTITUTO COMERCIAL LORETO,1,1,BOGOTÁ,0.0,2.849056603773585,3.6037735849056602,0.7924528301886793,0.9056603773584906,4.9245283018867925,11.377358490566039,44.81132075471698,1.0,0.8867924528301887,0.2830188679245283,277.4339622641509
9099,INSTITUTO COMERCIAL OASIS,1,1,CUNDINAMARCA,0.125,1.375,4.25,0.5,0.625,4.875,9.0,40.0,0.875,0.25,0.5,279.625
9100,INSTITUTO COMFAMILIAR,1,1,RISARALDA,0.0,2.4296875,3.8125,0.5546875,0.59375,4.1015625,10.3359375,32.7734375,0.8828125,0.734375,0.359375,239.5234375
9101,INSTITUTO COMUNITARIO MINCA,0,1,SANTANDER,0.0,2.0638297872340425,4.1063829787234045,0.3191489361702128,0.5531914893617021,5.74468085106383,10.595744680851064,24.893617021276597,0.7872340425531915,0.5957446808510638,0.3191489361702128,278.4468085106383
9102,INSTITUTO COOPERATIVO AGROINDUSTRIAL HERNAN ECHAVARRIA OLOZAGA,1,0,CUNDINAMARCA,0.0,2.9285714285714284,3.2142857142857144,0.8214285714285714,0.8571428571428571,3.5357142857142856,10.607142857142858,40.357142857142854,0.9642857142857143,0.8571428571428571,0.21428571428571427,281.0
9103,INSTITUTO COOPERATIVO SOFONIAS YACUP,1,1,VALLE,0.0,1.25,2.5,0.5,0.75,4.5,12.0,33.75,0.75,0.75,0.0,221.5
9104,INSTITUTO CORFERRINI,1,1,ANTIOQUIA,0.0,2.2941176470588234,3.501278772378517,0.38107416879795397,0.47058823529411764,3.7519181585677748,9.636828644501279,27.25063938618926,0.7723785166240409,0.6777493606138107,0.6470588235294118,212.72890025575447
9105,INSTITUTO CRISTIANO DE PROMOCION CAMPESINA ICPROC,1,0,SANTANDER,0.0,2.25,4.0,0.0,0.0,4.5,7.5,13.75,0.5,0.5,0.75,220.0
9106,INSTITUTO CRISTIANO LAWRENCE,1,1,MAGDALENA,0.0,1.7307692307692308,4.076923076923077,0.6923076923076923,0.7307692307692307,6.6923076923076925,10.615384615384615,30.576923076923077,0.6153846153846154,0.7307692307692307,0.2692307692307692,231.42307692307693
9107,INSTITUTO CRISTIANO MISION BOSTON,1,1,ATLANTICO,0.0,1.6666666666666667,6.333333333333333,0.3333333333333333,0.16666666666666666,3.5,7.5,12.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,197.5
9108,INSTITUTO CRISTO REY,1,0,LA GUAJIRA,0.08,2.1,3.96,0.94,0.98,6.42,10.8,33.8,0.8,0.64,0.18,272.98
9109,INSTITUTO CRISTO REY,1,1,ANTIOQUIA,0.0,2.896551724137931,3.2758620689655173,0.8620689655172413,0.896551724137931,3.413793103448276,12.10344827586207,32.06896551724138,1.0,0.896551724137931,0.10344827586206896,281.0689655172414
9110,INSTITUTO CRISTOCENTRICO DEL CARIBE,1,1,BOLIVAR,0.0,2.625,4.0,0.625,1.0,6.75,10.875,29.375,0.875,0.625,0.25,239.625
9111,INSTITUTO DANTE ALIGHIERI,1,1,BOGOTÁ,0.0,2.3333333333333335,3.933333333333333,0.2,0.13333333333333333,3.8,8.0,34.333333333333336,0.9333333333333333,0.6666666666666666,0.5333333333333333,208.33333333333334
9112,INSTITUTO DE CAPACITACION PARA EL TRABAJO ICT,1,1,CUNDINAMARCA,0.0,3.5,2.5,0.75,1.0,2.25,16.5,56.25,1.0,1.0,0.25,265.75
9113,INSTITUTO DE CAPACITACION TECNOLOGICA,1,1,MAGDALENA,0.0,2.1875,3.625,0.6875,0.6875,3.75,10.875,31.25,0.5,0.625,0.375,210.25
9114,INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO I.C.T.,1,1,CUNDINAMARCA,0.0,3.0,4.6,1.0,0.8,5.4,16.8,62.0,1.0,1.0,0.4,255.2
9115,INSTITUTO DE CIENCIAS ADMINISTRATIVAS - INCAD,1,1,SANTANDER,0.0,2.2333333333333334,3.8666666666666667,0.6333333333333333,0.5666666666666667,2.7,10.4,24.166666666666668,0.7333333333333333,0.7,0.5333333333333333,235.3
9116,INSTITUTO DE CIENCIAS APLICADAS INDECAP,1,1,ANTIOQUIA,0.0,1.8,3.8,0.8,1.0,3.0,13.2,27.0,1.0,0.4,0.0,261.2
9117,INSTITUTO DE COMERCIO PRACTICO INSCOP,1,1,VALLE,0.0,2.933333333333333,3.1333333333333333,0.5333333333333333,0.7333333333333333,2.8,11.8,40.333333333333336,1.0,0.7333333333333333,0.3333333333333333,237.53333333333333
9118,INSTITUTO DE EDUACCION COMFENALCO VALLLE,1,1,VALLE,0.0,2.3793103448275863,3.413793103448276,0.3793103448275862,0.3448275862068966,4.241379310344827,8.172413793103448,32.06896551724138,0.8275862068965517,0.5862068965517241,0.8275862068965517,226.41379310344828
9119,INSTITUTO DE EDUCACION DE ADULTOS COMFAORIENTE,1,1,NORTE SANTANDER,0.0,1.6428571428571428,3.5714285714285716,0.42857142857142855,0.7857142857142857,2.5714285714285716,8.571428571428571,21.071428571428573,0.6428571428571429,0.7142857142857143,0.5714285714285714,218.35714285714286
9120,INSTITUTO DE EDUCACION DE ADULTOS IMTEL LTDA,1,1,NORTE SANTANDER,0.0,2.176470588235294,4.0588235294117645,0.47058823529411764,0.5882352941176471,4.411764705882353,7.588235294117647,24.705882352941178,0.7058823529411765,0.5294117647058824,0.7058823529411765,223.8235294117647
9121,INSTITUTO DE EDUCACION FORMAL  CECONTEC,1,1,TOLIMA,0.0,1.6,3.5,0.325,0.3,3.825,6.9,18.5,0.5,0.475,0.65,189.775
9122,INSTITUTO DE EDUCACION FORMAL CENTRO DE SISTEMAS,1,1,ANTIOQUIA,0.0,2.3333333333333335,3.5,0.4166666666666667,0.75,5.0,11.75,19.166666666666668,0.8333333333333334,0.4166666666666667,0.6666666666666666,220.25
9123,INSTITUTO DE EDUCACION INTEGRAL JOSE CELESTINO MUTIS,1,1,VALLE,1.0,1.0,5.0,0.0,0.0,3.0,6.0,10.0,0.0,0.0,0.0,236.0
9124,INSTITUTO DE EDUCACION MEDIA DE LA ASOC. DE PROFESIONALES,1,1,ATLANTICO,0.0,2.576923076923077,4.153846153846154,0.8076923076923077,0.8846153846153846,6.576923076923077,10.153846153846153,45.0,0.9615384615384616,0.7692307692307693,0.11538461538461539,259.9230769230769
9125,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,0,1,BOYACA,0.0,2.0245901639344264,4.098360655737705,0.4426229508196721,0.5655737704918032,3.9344262295081966,8.557377049180328,35.98360655737705,0.7377049180327869,0.5655737704918032,0.3114754098360656,257.4836065573771
